Series Name,Series Code,Country Name,Country Code,Inflation
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Sri Lanka,LKA,3.277825629
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,St. Kitts and Nevis,KNA,0.751783894
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,St. Lucia,LCA,3.518478182
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,St. Martin (French part),MAF,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,St. Vincent and the Grenadines,VCT,0.193858561
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Sudan,SDN,36.90776377
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Suriname,SUR,3.345787546
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Swaziland,SWZ,5.685266864
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Sweden,SWE,-0.179638494
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Switzerland,CHE,-0.013225325
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Syrian Arab Republic,SYR,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tajikistan,TJK,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tanzania,TZA,6.13161433
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Thailand,THA,1.895141819
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Timor-Leste,TMP,0.443548387
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Togo,TGO,0.189644947
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tonga,TON,2.510876333
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Trinidad and Tobago,TTO,5.684418146
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tunisia,TUN,4.937735303
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Turkey,TUR,8.854572714
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Turkmenistan,TKM,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Turks and Caicos Islands,TCA,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Tuvalu,TUV,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Uganda,UGA,4.288209263
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Ukraine,UKR,12.18836565
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,United Arab Emirates,ARE,2.344703948
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,United Kingdom,GBR,1.460191609
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,United States,USA,1.622222977
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Uruguay,URY,8.877353332
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Uzbekistan,UZB,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Vanuatu,VUT,0.798863838
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Venezuela, RB",VEN,62.16864998
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Vietnam,VNM,4.085899941
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Virgin Islands (U.S.),VIR,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,West Bank and Gaza,WBG,1.733141193
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Yemen, Rep.",YEM,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Zambia,ZMB,7.811954417
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Zimbabwe,ZWE,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Arab World,ARB,2.808564963
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Caribbean small states,CSS,1.296952987
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,East Asia & Pacific (all income levels),EAS,2.748854644
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,East Asia & Pacific (developing only),EAP,3.855238553
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Euro area,EMU,0.241057543
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Europe & Central Asia (all income levels),ECS,0.507700673
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Europe & Central Asia (developing only),ECA,2.082447939
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,European Union,EUU,0.2205662
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Heavily indebted poor countries (HIPC),HPC,4.379840041
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,High income,HIC,0.984562275
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,High income: OECD,OEC,0.536227438
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,High income: nonOECD,NOC,1.445149472
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Latin America & Caribbean (all income levels),LCN,3.418361697
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Latin America & Caribbean (developing only),LAC,3.468419939
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Least developed countries: UN classification,LDC,4.473006786
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Low & middle income,LMY,3.535218852
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Low income,LIC,4.288209263
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Lower middle income,LMC,5.127344105
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Middle East & North Africa (all income levels),MEA,2.7186759
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Middle East & North Africa (developing only),MNA,2.847920554
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Middle income,MIC,3.468419939
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,North America,NAC,1.764429442
